,,LAS PALMERAS GROUPALMERAS S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Registro de cierre de ventas diarias por local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FORMAS DE PAGO,,,,,,,,,GASTOS,,,,,,,,,,,,,,CORTESIAS,,,,,
Local,Fecha,"Venta 
Total",Datafast,Medianet,Uber,Pedidos Ya,Rappic,Cheques,Transferencias,Retenciones,Efectivo,Compras,"Pago 
D¡as Libres",Eventuales,Sueldos,Anticipos,Prestamos,Transporte,C. Empleados,Mantenimientos,Otros,Total Gastos,"Deposito
1","Deposito
2","Diferencia 
en depositos",Empleados,Gerencia,Cumplea¤eros,Promociones,"Total 
Cortesias",POR
1,06-03-22,1371.16,,720.43,94.92,19.98,,,,,535.83,,,100.00,,,,,,,,100.00,435.83,,0.00,,,,,0.00,SDS
1,07-03-22,326.23,,127.46,17.24,,20.83,,,,160.70,2.20,,,158.50,,,,,,,160.70,,,0.00,,,,,0.00,SDS
1,08-03-22,1287.19,,797.55,45.47,16.29,,,,,427.88,16.70,,,394.84,,,,,,8.05,419.59,8.29,,0.00,,,8.60,,8.60,SDS
1,09-03-22,773.30,,356.40,74.05,,,,,,342.85,,50.00,,,36.84,,,,,,86.84,256.01,,0.00,,,8.40,,8.40,SDS
1,10-03-22,1073.42,,416.40,51.76,,,,,,605.26,6.41,,,,,,,,,,6.41,598.85,,0.00,,,,,0.00,SDS
10,01-03-22,1027.20,,298.55,63.51,60.75,,,,,604.39,,,80.00,,,,6.00,,27.17,,113.17,491.22,,0.00,,,,,0.00,SDS
10,02-03-22,272.78,,61.92,,7.08,,,,,203.78,,,,,,,6.00,,,4.54,10.54,193.24,,0.00,,,,,0.00,SDS
10,03-03-22,133.12,,31.13,,,,,,,101.99,,,,,,,46.00,,,,46.00,55.99,,0.00,,,,,0.00,SDS
10,04-03-22,240.41,,76.63,17.24,20.71,10.97,,,,114.86,20.00,,,,,,,,80.00,,100.00,14.86,,0.00,,,,,0.00,SDS
10,05-03-22,1130.70,,410.30,31.19,,,,,,689.21,1.98,20.00,,661.23,,,6.00,,,,689.21,,,0.00,,,,,0.00,SDS
10,06-03-22,887.83,,226.78,56.99,36.53,,,,,567.53,,,,207.77,,,12.00,,,,219.77,347.76,,0.00,,,,,0.00,SDS
10,07-03-22,278.50,,47.24,34.44,,,,,,196.82,,,,,,,6.00,,,,6.00,190.82,,0.00,,,,,0.00,SDS
10,08-03-22,273.17,,51.18,,9.63,,,,,212.36,38.00,,,,,,6.00,,,168.36,212.36,,,0.00,,,,,0.00,SDS
10,09-03-22,260.30,,49.83,,18.25,,,,,192.22,,,,,,,6.00,,3.90,110.81,120.71,71.51,,0.00,,,,,0.00,SDS
10,10-03-22,274.56,,124.17,,13.57,,,,,136.82,,,,,,,46.00,,,,46.00,90.82,,0.00,,,,,0.00,SDS
3,01-03-22,1588.65,,782.28,69.01,,,,,,737.36,4.00,40.00,160.00,,,,,,,,204.00,530.00,3.36,0.00,,,,,0.00,SDS
3,02-03-22,307.92,21.72,101.33,,,10.35,,,,174.52,3.00,,,,,,,,,,3.00,171.52,,0.00,,,,,0.00,SDS
3,03-03-22,272.13,,140.59,,,,,,,131.54,5.00,,,,4.98,,,,,,9.98,121.59,,-0.03,,,,,0.00,SDS
